"Category","Test ID","Section","Test Case Description","Priority","Expected Result","Actual Result","Status","Tester","Notes"
"Public Pages","ANNOUNCE-010","Announcements","Verify recent announcements sidebar on detail page","Medium","Detail page sidebar lists up to 5 other active announcements with clickable titles","","Not Tested","",""
"Public Pages","BB-001","Bulletins","Verify bulletins index page","High","Page shows list of downloadable parish bulletins with titles and dates","","Not Tested","",""
"Public Pages","BB-002","Bulletins","Verify bulletin download","High","Download button triggers file download of the bulletin PDF","","Not Tested","",""
"Public Pages","INT-001","Submit Intention","Verify page hero section","High","Blue gradient hero with title Submit Mass Intention, cross icon, and page description","","Not Tested","",""
"Public Pages","INT-002","Submit Intention","Verify form fields display","High","Form shows: Full Name (required), Email (required), Intention Category (dropdown, required), Mass Date (date picker, required), Service Time (dropdown, required), Intention Detail (textarea, required), Donation details (accordion)","","Not Tested","",""
"Public Pages","INT-003","Submit Intention","Verify intention categories dropdown","Medium","Dropdown shows: Thanksgiving, Birthday, Wedding Anniversary, Healing, Repose of the Soul, Special Intention, Other","","Not Tested","",""
"Public Pages","INT-004","Submit Intention","Verify mass date picker","High","Flatpickr date picker appears on click; minDate is today; date selection sets preferred date","","Not Tested","",""
"Public Pages","INT-005","Submit Intention","Verify service times update on date change","High","Sunday shows 6:30 AM, 8:30 AM, 10:00 AM, 3:00 PM, 4:30 PM, 6:00 PM; Saturday shows 6:30 AM, 6:00 PM; Weekdays show 6:00 PM only","","Not Tested","",""
"Public Pages","INT-006","Submit Intention","Verify donation accordion","High","Clicking Donation Details expands GCash/Bank toggle with QR code, account number (copyable), and bank details","","Not Tested","",""
"Public Pages","INT-007","Submit Intention","Verify form validation errors","High","When submitting empty form, red error borders and messages show for required fields; email field validates format","","Not Tested","",""
"Public Pages","INT-008","Submit Intention","Verify duplicate intention detection","Medium","When submitting duplicate for same requester, a warning modal shows with option to track existing or submit anyway","","Not Tested","",""
"Public Pages","INT-009","Submit Intention","Verify successful submission","High","On valid submit, success card displays with reference ID (INT-YYYY-XXXX), copy button, Track My Request link, and Submit Another button","","Not Tested","",""
"Public Pages","INT-010","Submit Intention","Verify reference ID copy function","Medium","Clicking copy icon copies the reference ID to clipboard and shows checkmark for 2 seconds","","Not Tested","",""
"Public Pages","INT-011","Submit Intention","Verify track status link from success","Medium","Track My Request button navigates to track-intention/{refId} with the submitted reference ID","","Not Tested","",""
"Public Pages","INQ-001","Inquiry","Verify page hero section","High","Blue gradient hero with title Parish Inquiries and cross icon","","Not Tested","",""
"Public Pages","INQ-002","Inquiry","Verify sidebar content","High","Left sidebar shows How It Works steps, contact numbers, and email","","Not Tested","",""
"Public Pages","INQ-003","Inquiry","Verify inquiry type dropdown","High","Dropdown shows categories: Baptism, First Communion, Confirmation, Wedding, Funeral Mass, Baptismal Certificate, Confirmation Certificate, Marriage Certificate, Car Blessing, House Blessing, Others","","Not Tested","",""
"Public Pages","INQ-004","Inquiry","Verify Baptism requirements display","Medium","When selecting Baptism, requirements box shows list of needed documents, schedule notes, dress code with NO CAPS warning","","Not Tested","",""
"Public Pages","INQ-005","Inquiry","Verify Wedding requirements display","Medium","When selecting Wedding, requirements box shows wedding documents, fees, schedule, and seminar info","","Not Tested","",""
"Public Pages","INQ-006","Inquiry","Verify Baptismal Certificate form fields","Medium","When selecting Baptism/Baptismal Certificate, structured input fields appear for name, birthdate, baptism date, birthplace, father, mother, purpose (instead of textarea)","","Not Tested","",""
"Public Pages","INQ-007","Inquiry","Verify preferred date field conditional display","High","For Baptism, Wedding, Funeral Mass types: date picker shows; for other types: date picker is hidden","","Not Tested","",""
"Public Pages","INQ-008","Inquiry","Verify form validation errors","High","When submitting empty form, red error borders and messages show for required fields","","Not Tested","",""
"Public Pages","INQ-009","Inquiry","Verify successful submission modal","High","On valid submit, success modal shows with reference ID (INQ-YYYY-XXXX), copy button, and Continue button","","Not Tested","",""
"Public Pages","INQ-010","Inquiry","Verify duplicate inquiry warning","Medium","When submitting duplicate inquiry, warning modal shows with option to track existing or submit anyway","","Not Tested","",""
"Public Pages","INQ-011","Inquiry","Verify service requirements display","High","Each inquiry type shows relevant document requirements when selected","","Not Tested","",""
"Public Pages","INQ-012","Inquiry","Verify Yes/No document confirmation for certificate requests","Medium","For Baptismal/Confirmation/Marriage Certificate types, YES/NO radio buttons appear asking if user wants a document","","Not Tested","",""
"Public Pages","TRACK-001","Track Status","Verify track status form","High","Input field accepts reference ID format and Check Status button","","Not Tested","",""
"Public Pages","TRACK-002","Track Status","Verify valid reference ID lookup","High","Entering a valid reference ID shows result card with status banner, name, submission date, preferred date, status with color coding (pending=orange, approved=green, rejected=red)","","Not Tested","",""
"Public Pages","TRACK-003","Track Status","Verify status color coding","Medium","Pending shows orange banner; Approved/Accepted shows green; Rejected/Declined shows red with rejection reason displayed","","Not Tested","",""
"Public Pages","TRACK-004","Track Status","Verify invalid reference ID","High","Entering invalid or non-existent reference ID shows appropriate error/validation message","","Not Tested","",""
"Public Pages","TRACK-005","Track Status","Verify status messages","Medium","Each status (pending/approved/rejected) shows appropriate informational message below detail grid","","Not Tested","",""
"Public Pages","TRACK-006","Track Status","Verify rejection reason display","Medium","Rejected inquiries show rejection reason in the result card","","Not Tested","",""
"Public Pages","TRACK-007","Track Status","Verify email lookup returns multiple records","High","Entering a valid email with multiple submissions shows combined list of intentions and inquiries","","Not Tested","",""
"Public Pages","TRACK-008","Track Status","Verify direct track URL without form","Medium","Navigating to /track-intention/{refId} directly shows status result without form submission","","Not Tested","",""
"Public Pages","TRACK-009","Track Status","Verify inquiry reference ID lookup","High","Entering valid INQ-YYYY-XXXX reference ID shows Sacramental Inquiry result with correct status","","Not Tested","",""
"Public Pages","DON-001","Donate","Verify page hero section","High","Dark blue hero with Support Our Parish title in gradient text, subtitle about stewardship","","Not Tested","",""
"Public Pages","DON-002","Donate","Verify payment method tabs","High","Three tabs visible: Online Payment, Scan QR, Bank Transfer; clicking switches content panels","","Not Tested","",""
"Public Pages","DON-003","Donate","Verify online payment form (PayMongo enabled)","High","When PayMongo is enabled: shows amount buttons (100, 500, 1,000, 5,000 PHP), custom amount input (min 100), purpose selector, donor name/email (optional), message, and Donate submit button","","Not Tested","",""
"Public Pages","DON-004","Donate","Verify online payment form (PayMongo disabled)","High","When PayMongo is disabled: shows Coming Soon placeholder with message about using QR or Bank Transfer tabs","","Not Tested","",""
"Public Pages","DON-005","Donate","Verify QR code tab","High","QR tab shows GCash number, account name, and QR code image (if configured) with copy buttons","","Not Tested","",""
"Public Pages","DON-006","Donate","Verify bank transfer tab","High","Bank tab shows BPI account details, and instruction to send proof to office email","","Not Tested","",""
"Public Pages","DON-007","Donate","Verify copy to clipboard functions","Medium","Clicking copy icon next to GCash number/name copies to clipboard and shows COPIED feedback","","Not Tested","",""
"Public Pages","DON-008","Donate","Verify donation amount validation","High","Submit button disabled when amount < 100 PHP; shows Select an amount text when no amount chosen","","Not Tested","",""
"Public Pages","DON-009","Donate","Verify donation success page","High","After successful PayMongo checkout, success page shows confirmation with donor name and amount","","Not Tested","",""
"Public Pages","DON-010","Donate","Verify donation receipt download","High","Signed URL route /donate/receipt/{donation} generates and displays PDF receipt","","Not Tested","",""
"Public Pages","DON-011","Donate","Verify donation cancel page","Medium","After cancelled PayMongo checkout, cancel page shows appropriate message","","Not Tested","",""
"Public Pages","DON-012","Donate","Verify Where your donation goes info","High","Right sidebar shows three info items: Church Maintenance, Pantry Community Outreach, Youth Ministry","","Not Tested","",""
"Public Pages","DON-013","Donate","Verify scripture quote","Low","Right sidebar shows 2 Corinthians 9:7 quote in styled card","","Not Tested","",""
"Public Pages","DON-014","Donate","Verify PayMongo webhook processing","High","POST /paymongo/webhook handles payment success notifications and triggers email receipts","","Not Tested","","Technical QA - requires Postman/cURL"
"Public Pages","CHAT-001","Chatbot","Verify chatbot trigger button","High","Fixed bottom-left circular button with heart icon; clicking expands chat window","","Not Tested","",""
"Public Pages","CHAT-002","Chatbot","Verify chatbot welcome message","High","On first open, shows Peace be with you message with suggested chips: Mass Schedules, Offer Mass Intention, Sacramental Inquiry","","Not Tested","",""
"Public Pages","CHAT-003","Chatbot","Verify sending a message","High","Typing and sending a message displays it in chat bubble; bot responds with text and/or suggestions","","Not Tested","",""
"Public Pages","CHAT-004","Chatbot","Verify message timestamp display","Medium","Each message shows timestamp; if not today, shows date and time; if today, shows time only","","Not Tested","",""
"Public Pages","CHAT-005","Chatbot","Verify typing indicator","Medium","While bot is processing, shows animated dot loading indicator; when agent is connected, shows Agent is typing","","Not Tested","",""
"Public Pages","CHAT-006","Chatbot","Verify link formatting in bot responses","Medium","Bot responses render markdown links as clickable hyperlinks","","Not Tested","",""
"Public Pages","CHAT-007","Chatbot","Verify error handling","Medium","If API fails, shows error message with Retry button that re-sends last message","","Not Tested","",""
"Public Pages","CHAT-008","Chatbot","Verify suggested follow-up chips","High","After bot response, context-aware suggestion chips appear at bottom; clicking sends that suggestion as message","","Not Tested","",""
"Public Pages","CHAT-009","Chatbot","Verify character counter","Medium","Input field shows character counter (e.g., 500/1000); turns amber at 900+, red at 980+","","Not Tested","",""
"Public Pages","CHAT-010","Chatbot","Verify handover to live agent","High","When bot suggests handover, shows two buttons: Submit Inquiry Form and Wait for Live Agent; clicking the latter initiates agent request","","Not Tested","",""
"Public Pages","CHAT-011","Chatbot","Verify live agent waiting state","Medium","After requesting agent, shows Waiting for a parish representative banner with amber status dot","","Not Tested","",""
"Public Pages","CHAT-012","Chatbot","Verify live agent connection","Medium","When admin accepts, status shows Live Agent Connected with blue dot; new messages from agent appear in chat","","Not Tested","",""
"Public Pages","CHAT-013","Chatbot","Verify agent timeout (120s)","Medium","If no agent connects within 120 seconds, shows timeout message with Go to Inquiry Page button","","Not Tested","",""
"Public Pages","CHAT-014","Chatbot","Verify conversation resolution","Medium","When conversation resolved, shows final system message and Start New Chat button","","Not Tested","",""
"Public Pages","CHAT-015","Chatbot","Verify session persistence","Medium","Chat state persists in sessionStorage across page reloads (messages, status, scroll position)","","Not Tested","",""
"Public Pages","CHAT-016","Chatbot","Verify unread message badge","Medium","When chat is closed and new messages arrive, red badge shows unread count on trigger button","","Not Tested","",""
"Public Pages","CHAT-017","Chatbot","Verify chat window scroll","Medium","Chat container auto-scrolls to bottom on new messages; preserves position if user scrolled up","","Not Tested","",""
"Public Pages","CHAT-018","Chatbot","Verify input disabled states","Medium","Input is disabled during loading or while waiting for agent; submit button disabled when input empty or loading","","Not Tested","",""
"Public Pages","CHAT-019","Chatbot","Verify agent typing indicator from backend","Medium","When admin is typing, Agent is typing shows in chat window","","Not Tested","",""
"Public Pages","CHAT-020","Chatbot","Verify agent pause/resume","Medium","When admin pauses, chat returns to AI mode with system message; when resumed, agent reconnects","","Not Tested","",""
"Admin - Auth","AUTH-001","Admin Login","Verify login page loads","High","/login form with email, password fields and Login button","","Not Tested","",""
"Admin - Auth","AUTH-002","Admin Login","Verify login with valid credentials","High","Entering correct email/password logs in and redirects to dashboard","","Not Tested","",""
"Admin - Auth","AUTH-003","Admin Login","Verify login with invalid credentials","High","Entering wrong credentials shows error message and stays on login page","","Not Tested","",""
"Admin - Auth","AUTH-004","Admin Login","Verify login throttle","High","After 5 failed attempts, login is throttled (rate limiting active)","","Not Tested","",""
"Admin - Auth","AUTH-005","Admin Login","Verify logout","High","Clicking logout button ends session and redirects to login page","","Not Tested","",""
"Admin - Auth","AUTH-006","Admin Login","Verify role-based access control","High","Non-authenticated users redirected to login; authenticated users see only their role features","","Not Tested","",""
"Admin - Auth","AUTH-007","Admin Login","Verify admin-portal redirect","Medium","Accessing /admin-portal/{path} performs 301 redirect to /internal/{path}","","Not Tested","",""
"Admin - Auth","AUTH-008","Admin Login","Verify super_admin can access all routes","High","super_admin role can access every admin panel route without restriction","","Not Tested","",""
"Admin - Auth","AUTH-009","Admin Login","Verify staff role access restrictions","High","staff role cannot access /internal/users or /internal/settings or /internal/logs","","Not Tested","",""
"Admin - Auth","AUTH-010","Admin Login","Verify soccom role access restrictions","High","soccom role cannot access /internal/users, /internal/intentions, or /internal/donations","","Not Tested","",""
"Admin - Auth","AUTH-011","Admin Login","Verify staff role content management restrictions","High","staff role cannot access /internal/announcements, /internal/schedules, /internal/events, /internal/gallery, or /internal/chats","","Not Tested","",""
"Admin - Auth","AUTH-012","Admin Login","Verify soccom and super_admin content access","High","soccom and super_admin can access announcements, schedules, events, gallery, highlights, and live chat","","Not Tested","",""
"Admin - Dashboard","DASH-001","Admin Dashboard","Verify dashboard loads after login","High","After login, /internal/dashboard shows overview cards with stats","","Not Tested","",""
"Admin - Dashboard","DASH-002","Admin Dashboard","Verify SSE notification stream","High","/internal/notifications/stream returns SSE stream with real-time updates","","Not Tested","",""
"Admin - Dashboard","DASH-003","Admin Dashboard","Verify notification count badge","Medium","/internal/notifications/count returns JSON with unread count","","Not Tested","",""
"Admin - Dashboard","DASH-004","Admin Dashboard","Verify activity logs page","High","/internal/logs shows activity log table with timestamps, user, action, and details","","Not Tested","",""
"Admin - Dashboard","DASH-005","Admin Dashboard","Verify dashboard stats cards","Medium","Cards show counts for intentions, inquiries, donations, events, announcements","","Not Tested","",""
"Admin - Dashboard","DASH-006","Admin Dashboard","Verify dashboard loading states","Medium","Skeleton loaders show while dashboard data is being fetched","","Not Tested","",""
"Admin - Mass Intentions","ADMIN-INT-001","Admin Intentions","Verify intentions index page","High","/internal/intentions shows table of all mass intentions with search, filters, and status column","","Not Tested","",""
"Admin - Mass Intentions","ADMIN-INT-002","Admin Intentions","Verify intention creation form","High","/internal/intentions/create shows form with all fields: requester name, email, intention type, date, time, description, notes","","Not Tested","",""
"Admin - Mass Intentions","ADMIN-INT-003","Admin Intentions","Verify intention status update","High","Clicking status dropdown updates intention status; status change triggers email notification to requester","","Not Tested","",""
"Admin - Mass Intentions","ADMIN-INT-004","Admin Intentions","Verify batch status update","Medium","Select multiple intentions and batch update status via checkbox and batch action dropdown","","Not Tested","",""
"Admin - Mass Intentions","ADMIN-INT-005","Admin Intentions","Verify intention rejection reason","High","When rejecting an intention, rejection reason field is required and saved/displayed on tracking page","","Not Tested","",""
"Admin - Mass Intentions","ADMIN-INT-006","Admin Intentions","Verify intention show page","High","Clicking an intention shows detail page with full info, status history, and notes","","Not Tested","",""
"Admin - Mass Intentions","ADMIN-INT-007","Admin Intentions","Verify intentions email notification","High","On status change, requester receives email via IntentionStatusUpdated notification","","Not Tested","",""
"Admin - Mass Intentions","ADMIN-INT-008","Admin Intentions","Verify role access for intentions","Medium","Only super_admin and staff can access intentions CRUD; soccom cannot access","","Not Tested","",""
"Admin - Mass Intentions","ADMIN-INT-009","Admin Intentions","Verify intention search and filter","Medium","Intentions can be searched by name/email and filtered by status (pending/approved/rejected)","","Not Tested","",""
"Admin - Mass Intentions","ADMIN-INT-010","Admin Intentions","Verify intention reference ID format","Medium","Reference IDs follow format INT-YYYY-XXXX and are unique","","Not Tested","",""
"Admin - Announcements","ADMIN-ANN-001","Admin Announcements","Verify announcements index","High","/internal/announcements shows table of announcements with title, category, published status, and actions","","Not Tested","",""
"Admin - Announcements","ADMIN-ANN-002","Admin Announcements","Verify announcement creation","High","Create form with title, content, category, featured toggle, recruitment toggle, registration link","","Not Tested","",""
"Admin - Announcements","ADMIN-ANN-003","Admin Announcements","Verify announcement editing","Medium","Editing an announcement updates title, content, category, and all fields correctly","","Not Tested","",""
"Admin - Announcements","ADMIN-ANN-004","Admin Announcements","Verify announcement deletion","Medium","Deleting an announcement removes it from database and public listing","","Not Tested","",""
"Admin - Announcements","ADMIN-ANN-005","Admin Announcements","Verify recruitment field","Medium","Announcements with recruitment=True show Recruitment badge on public view and registration link if set","","Not Tested","",""
"Admin - Announcements","ADMIN-ANN-006","Admin Announcements","Verify category assignment","Medium","Announcements can be assigned categories: Parish Life, Liturgical, Sacraments, Formation with color-coded badges","","Not Tested","",""
"Admin - Announcements","ADMIN-ANN-007","Admin Announcements","Verify publish/draft toggle","High","Create and edit forms allow toggling is_published; draft announcements are hidden from public site","","Not Tested","",""
"Admin - Announcements","ADMIN-ANN-008","Admin Announcements","Verify expiry date field","High","expires_at field saves correctly; announcement auto-hides from public site after expiry datetime","","Not Tested","",""
"Admin - Announcements","ADMIN-ANN-009","Admin Announcements","Verify featured toggle on homepage","Medium","is_featured=true announcement appears as hero on homepage; toggling off removes hero placement","","Not Tested","",""
"Admin - Announcements","ADMIN-ANN-010","Admin Announcements","Verify role access for announcements","Medium","Only super_admin and soccom can access announcements CRUD; staff is denied","","Not Tested","",""
"Admin - Events","ADMIN-EVT-001","Admin Events","Verify events index page","High","/internal/events shows table of events with title, date, times, and actions","","Not Tested","",""
"Admin - Events","ADMIN-EVT-002","Admin Events","Verify event creation form","High","Create form with title, description, event date, multiple time slots (with title+time), and URL field for external links","","Not Tested","",""
"Admin - Events","ADMIN-EVT-003","Admin Events","Verify event time slots","Medium","Multiple time slots can be added; each slot has title and time fields","","Not Tested","",""
"Admin - Events","ADMIN-EVT-004","Admin Events","Verify event editing","Medium","Editing updates all event fields including time slots and saves correctly","","Not Tested","",""
"Admin - Events","ADMIN-EVT-005","Admin Events","Verify event deletion","Medium","Deleting removes event from database and public event listing","","Not Tested","",""
"Admin - Events","ADMIN-EVT-006","Admin Events","Verify event publish/draft toggle","High","Unpublished events do not appear on public events page; published events are visible","","Not Tested","",""
"Admin - Gallery","ADMIN-GAL-001","Admin Gallery","Verify albums index","High","/internal/gallery shows list of albums with cover image, title, photo count, and featured video status","","Not Tested","",""
"Admin - Gallery","ADMIN-GAL-002","Admin Gallery","Verify album creation","High","Create new album with title and description","","Not Tested","",""
"Admin - Gallery","ADMIN-GAL-003","Admin Gallery","Verify image upload to album","High","Add Images form allows multiple file upload; uploads are queued via UploadGalleryMediaJob","","Not Tested","",""
"Admin - Gallery","ADMIN-GAL-004","Admin Gallery","Verify image deletion","Medium","Deleting an image removes it from album and storage","","Not Tested","",""
"Admin - Gallery","ADMIN-GAL-005","Admin Gallery","Verify featured video","Medium","Setting a featured video URL displays video embed on public album view","","Not Tested","",""
"Admin - Gallery","ADMIN-GAL-006","Admin Gallery","Verify album publish/draft toggle","High","Draft albums (is_published=false) are hidden from public gallery; published albums are visible","","Not Tested","",""
"Admin - Schedules","ADMIN-SCHED-001","Admin Schedules","Verify schedules index","High","/internal/schedules shows table of mass schedules with day(s), time(s), type, title","","Not Tested","",""
"Admin - Schedules","ADMIN-SCHED-002","Admin Schedules","Verify schedule creation","High","Create form with mass type (sunday/anticipated/weekday/saturday/special), day of week, time, title fields","","Not Tested","",""
"Admin - Schedules","ADMIN-SCHED-003","Admin Schedules","Verify schedule editing","Medium","Editing updates day(s), time(s), and type correctly","","Not Tested","",""
"Admin - Schedules","ADMIN-SCHED-004","Admin Schedules","Verify schedule deletion","Medium","Deleting a schedule removes it from the public mass schedule page","","Not Tested","",""
"Admin - Schedules","ADMIN-SCHED-005","Admin Schedules","Verify multiple days and times","Medium","A single schedule can have multiple day_of_week values and multiple time entries","","Not Tested","",""
"Admin - Schedules","ADMIN-SCHED-006","Admin Schedules","Verify iCal export from admin","Medium","Each schedule can generate iCal file with correct recurrence rule (RRULE) for weekly masses","","Not Tested","",""
"Admin - Inquiries","ADMIN-INQ-001","Admin Inquiries","Verify inquiries index","High","/internal/inquiries shows table of all inquiries with name, type, status, and actions","","Not Tested","",""
"Admin - Inquiries","ADMIN-INQ-002","Admin Inquiries","Verify inquiry detail view","High","Clicking an inquiry shows detail page with full info, requirements, and status","","Not Tested","",""
